Date,Month,Day,DayWeek,WeekDay,Hour,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SR,TOUT,WSR,WDV
01-ene-15,1,1,jue,5,1,2.51,10.2,12.9,23.1,10,139,80,725.4,0.01,96,0,3.91,7.2,344
01-ene-15,1,1,jue,5,2,2.41,9.2,11.6,20.8,7,42,29,725,0.02,96,0,3.81,6.3,341
01-ene-15,1,1,jue,5,3,2.39,8.1,11.8,19.9,7,23,9,724.4,0,96,0,3.85,5.2,346
01-ene-15,1,1,jue,5,5,2.26,5.3,8.9,14.2,7,23,14,724,0.01,96,0,3.79,5.6,336
01-ene-15,1,1,jue,5,8,2.25,7.2,10.2,17.4,5,15,8,724.3,0,96,0.023,3.93,4.8,354
01-ene-15,1,1,jue,5,9,2.21,5.8,8.2,14,7,16,6,724.3,0,96,0.052,4.13,4.2,15
01-ene-15,1,1,jue,5,12,2.38,10,10.1,20.1,10,22,17,722.6,0,96,0.127,6.6,3.2,29
01-ene-15,1,1,jue,5,13,2.51,11.5,12.3,23.8,12,32,16,721.7,0,95,0.15,6.89,4.8,2
01-ene-15,1,1,jue,5,14,2.55,12,13.5,25.5,14,31,19,721,0,94,0.175,7.43,4.6,47
01-ene-15,1,1,jue,5,15,2.45,10.5,12.8,23.3,11,50,35,720.8,0,93,0.091,7.15,4,42
01-ene-15,1,1,jue,5,16,2.59,11.4,14,25.4,11,45,15,720.8,0,93,0.091,7.04,2.9,54
01-ene-15,1,1,jue,5,17,2.73,16.1,17.7,33.8,10,62,36,720.6,0,93,0.014,6.82,4.4,81
01-ene-15,1,1,jue,5,18,2.76,14.8,18.6,33.4,8,67,37,721,0,93,0.008,6.7,3.7,58
01-ene-15,1,1,jue,5,19,2.81,21.2,18,39.2,6,59,33,721.3,0,94,0.016,6.5,5.6,101
01-ene-15,1,1,jue,5,20,2.6,18.2,11.6,29.8,5,61,10,721.5,0,94,0.004,5.79,8.2,118
01-ene-15,1,1,jue,5,22,2.35,9.7,11.3,21,5,28,14,721.6,0,95,0,5.09,7.5,103
01-ene-15,1,1,jue,5,23,2.28,6.3,9.9,16.2,6,23,6,721.5,0,95,0,4.98,7.9,106
02-ene-15,1,2,vie,6,0,2.22,5,8.1,13.1,6,15,12,721.7,0,96,0,4.86,4.1,83
02-ene-15,1,2,vie,6,1,2.22,5,9.4,14.4,5,15,11,721.6,0.01,96,0,4.88,3.7,29
02-ene-15,1,2,vie,6,2,2.19,3.8,8.5,12.3,6,15,12,721.3,0,96,0,4.76,5,20
02-ene-15,1,2,vie,6,6,2.25,8.1,11.2,19.3,4,8,5,721.3,0,96,0.011,4.41,3.3,1
02-ene-15,1,2,vie,6,8,2.44,15.3,12.8,28.1,4,12,12,721.9,0,95,0.043,4.69,3.1,5
02-ene-15,1,2,vie,6,9,2.43,22.1,12.6,34.7,5,17,13,722.1,0,95,0.073,5.13,2,31
02-ene-15,1,2,vie,6,12,2.52,16.4,12.2,28.6,10,42,10,720.1,0,91,0.13,7.31,1.8,70
02-ene-15,1,2,vie,6,13,2.57,23.8,14.9,38.7,10,49,14,718.9,0,88,0.117,7.53,2.6,76
02-ene-15,1,2,vie,6,14,2.63,23.3,15.5,38.8,8,73,52,718.4,0,87,0.07,7.25,4.4,66
02-ene-15,1,2,vie,6,15,2.67,22,15.5,37.5,7,66,26,718.3,0,89,0.04,6.96,4,58
02-ene-15,1,2,vie,6,16,2.62,21.3,16.9,38.2,6,72,30,718.1,0,91,0.02,6.61,3.7,55
